step mean margin_of_error
0 0.0 0.0
1000 2.849 0.806
10000 2.134 1.228
20000 2.126 1.231
30000 2.268 1.285
40000 2.342 1.388
50000 2.395 1.42
60000 2.498 1.474
70000 2.507 1.485
80000 2.557 1.543
90000 2.635 1.587
100000 2.646 1.529
110000 2.699 1.504
120000 2.758 1.541
130000 2.674 1.409
150000 2.605 1.375
160000 2.645 1.441
170000 2.629 1.418
180000 2.668 1.392
190000 2.711 1.412
200000 2.778 1.463
300000 2.595 1.337
400000 2.702 1.385
500000 2.802 1.464
600000 2.8 1.419
700000 2.813 1.445
800000 2.884 1.491
900000 2.861 1.378
