step mean margin_of_error
0 0.0 0.0
1000 3.812 0.601
10000 1.775 0.124
20000 1.92 0.528
30000 1.835 0.239
40000 1.983 0.464
50000 1.957 0.445
60000 2.03 0.511
70000 2.047 0.455
80000 2.069 0.408
90000 2.196 0.458
100000 2.25 0.464
110000 2.245 0.359
120000 2.326 0.53
130000 2.063 0.348
150000 2.03 0.509
160000 2.008 0.499
170000 2.033 0.478
180000 2.001 0.572
190000 2.016 0.571
200000 2.064 0.583
300000 1.957 0.554
400000 1.898 0.56
500000 1.892 0.539
600000 1.932 0.604
700000 1.902 0.676
800000 2.005 0.612
900000 1.944 0.594
