step mean margin_of_error
0 0.0 0.0
1000 2.523 0.371
10000 1.595 0.145
20000 1.582 0.077
30000 1.701 0.088
40000 1.729 0.074
50000 1.768 0.094
60000 1.848 0.094
70000 1.852 0.093
80000 1.876 0.091
90000 1.934 0.097
100000 1.971 0.076
110000 2.035 0.105
120000 2.077 0.085
130000 2.052 0.089
150000 1.998 0.104
160000 2.009 0.085
170000 2.003 0.108
180000 2.054 0.109
190000 2.088 0.093
200000 2.133 0.112
300000 2.005 0.085
400000 2.091 0.093
500000 2.156 0.115
600000 2.174 0.11
700000 2.176 0.128
800000 2.226 0.118
900000 2.253 0.114
