step mean margin_of_error
0 0.0 0.0
1000 4.486 2.168
10000 2.985 3.851
20000 3.213 4.124
30000 3.198 4.339
40000 3.34 4.324
50000 3.357 4.46
60000 3.43 4.464
70000 3.435 4.425
80000 3.499 4.557
90000 3.665 4.681
100000 3.697 4.612
110000 3.7 4.633
120000 3.751 4.542
130000 3.36 4.134
150000 3.258 3.919
160000 3.267 4.017
170000 3.245 3.863
180000 3.284 4.093
190000 3.27 4.002
200000 3.36 4.135
300000 3.163 3.848
400000 3.107 3.86
500000 3.09 3.824
600000 3.179 3.981
700000 3.164 4.032
800000 3.27 4.04
900000 3.205 4.028
